Acta Neuropsychiatrica
Juvenile and Family Court Journal
Juvenile and Family Court Journal
Juvenile Court Judges Journal
Juvenile Justice
Language and Linguistics Compass
Language Learning
Learning Disabilities Research & Practice
Legal and Criminological Psychology
Literacy
Literacy
Mental Health Weekly
Mind & Language
"Mind, Brain, and Education"
Monographs of the Society for Research in Child Development
Nations and Nationalism
Negotiation and Conflict Management Research
New Directions for Child and Adolescent Development
New Directions for Evaluation
New Directions for Evaluation
New Directions for Mental Health Services
New Directions for Program Evaluation
New Directions for Student Leadership
New Directions for Student Leadership
New Directions for Student Leadership
New Directions for Youth Development
Nursing Philosophy
Pastoral Care in Education
Personal Relationships
Personality and Mental Health
Personnel Psychology
Perspectives on Psychological Science
Political Psychology
Practice Development in Health Care
PsyCh Journal
Psychiatry and Clinical Neurosciences
Psychogeriatrics
Psychological Science
Psychological Science in the Public Interest
Psychology & Marketing
"Psychology and Psychotherapy: Theory, Research and Practice"
"Psychology and Psychotherapy: Theory, Research and Practice"
Psychology in the Schools
Psychology of Women Quarterly
Psychophysiology
Psychotherapy and Politics International
Reading
Reading Research Quarterly
Research Synthesis Methods
Review of Education
Scandinavian Journal of Psychology
Sleep and Biological Rhythms
Social and Personality Psychology Compass
Social Development
Social Issues and Policy Review
Social Policy Report
Sociology of Health & Illness
Spirituality and Health International
Sports Technology
Stress and Health
Stress and Health
Stress Medicine
Studies in Ethnicity and Nationalism
Suicide and Life-Threatening Behavior
Symbolic Interaction
The American Journal on Addictions
The Brown University Child & Adolescent Psychopharmacology Update
The Brown University Child and Adolescent Behavior Letter
The Brown University Child and Adolescent Behavior Letter
The Brown University Child and Adolescent Behavior Letter
The Brown University Digest of Addiction Theory and Application
The Brown University Geriatric Psychopharmacology Update
The Brown University Psychopharmacology Update
The Career Development Quarterly
The International Journal of Psychoanalysis
The Journal of Creative Behavior
The Journal of Humanistic Counseling
The Journal of Sexual Medicine
The Journal of the British Association of Psychotherapists
The Psychoanalytic Quarterly
The Reading Teacher
Topics in Cognitive Science
WIREs Cognitive Science
WIREs Developmental Biology
WIREs Forensic Science
